Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-June-2011,1119.95,1120.55,1056.60,1069.55,1079.904214539512928910,192785,7668,208189334.00,93164,48.33,63.95,-50.40
17-June-2011,1162.00,1162.00,1104.15,1110.50,1121.968418916999736249,246445,9037,276503507.00,88359,35.85,57.85,-51.50
16-June-2011,1178.05,1185.95,1147.10,1151.70,1163.129181752353367125,131195,7609,152596733.00,46465,35.42,38.85,-26.35
15-June-2011,1188.00,1202.85,1178.25,1180.00,1190.128851498759750156,133844,7256,159291606.00,37911,28.32,24.60,-8.00
14-June-2011,1180.00,1193.00,1180.00,1188.75,1187.027280374954933301,58247,3164,69140778.00,17363,29.81,13.00,8.75
13-June-2011,1188.00,1189.00,1171.50,1175.60,1180.071144517148014440,70912,2933,83681205.00,29574,41.71,17.50,-12.40
10-June-2011,1188.95,1196.90,1185.05,1188.65,1191.790122821168488676,174807,6790,208333256.00,103964,59.47,11.85,-0.30
9-June-2011,1177.35,1193.05,1177.00,1184.25,1187.708337978550246382,179396,6743,213070125.00,88533,49.35,16.05,6.90
8-June-2011,1169.00,1182.30,1164.30,1177.35,1175.959465128088134645,135883,4332,159792900.00,63914,47.04,18.00,8.35
7-June-2011,1163.00,1181.00,1157.25,1177.05,1175.529427839453458582,87825,4421,103240872.00,40088,45.65,23.75,14.05
6-June-2011,1148.00,1168.90,1140.00,1164.75,1156.354289098446540020,87804,3254,101532532.00,47450,54.04,28.90,16.75
3-June-2011,1165.50,1175.00,1150.00,1153.15,1162.201805657029537626,38324,2877,44540222.00,12189,31.81,25.00,-12.35
2-June-2011,1155.20,1168.00,1155.00,1165.00,1163.434812211728530639,45530,2211,52971187.00,13466,29.58,13.00,9.80
1-June-2011,1158.95,1176.75,1158.95,1175.30,1170.718345526167698368,60418,3387,70732461.00,20160,33.37,17.80,16.35
31-May-2011,1160.00,1175.50,1152.50,1158.80,1164.343490517683239364,78040,4310,90865366.00,18725,23.99,23.00,-1.20
30-May-2011,1146.50,1158.90,1143.20,1153.25,1151.289083504665506879,50584,2309,58236807.00,18527,36.63,15.70,6.75
27-May-2011,1147.80,1150.00,1136.00,1141.45,1143.921891210908551949,47229,2337,54026287.00,13587,28.77,14.00,-6.35
26-May-2011,1132.05,1142.00,1119.15,1132.45,1129.939680736238141225,88015,4370,99451641.00,22550,25.62,22.85,0.40
25-May-2011,1145.05,1150.80,1121.40,1127.55,1129.377962108190579192,103558,4716,116956123.00,41815,40.38,29.40,-17.50
24-May-2011,1162.95,1173.00,1141.45,1151.60,1156.259334124489769303,76681,4147,88663122.00,14200,18.52,31.55,-11.35
23-May-2011,1174.70,1174.70,1150.50,1164.10,1161.742033649305677008,57178,3129,66426086.00,12473,21.81,24.20,-10.60
20-May-2011,1170.00,1182.00,1164.10,1176.40,1175.476812552035500012,116507,5068,136951277.00,37908,32.54,17.90,6.40
19-May-2011,1160.00,1169.40,1157.00,1164.70,1165.126425800137482669,85829,4567,100001636.00,23297,27.14,12.40,4.70
18-May-2011,1143.20,1160.00,1143.20,1151.60,1153.217464157528406274,100858,5828,116311207.00,20799,20.62,16.80,8.40
17-May-2011,1130.00,1148.00,1125.00,1142.50,1140.706481758276036860,76939,4497,87764816.00,20490,26.63,23.00,12.50
16-May-2011,1124.45,1145.00,1123.00,1127.85,1133.295102366949163643,76343,4091,86519148.00,18002,23.58,22.00,3.40
13-May-2011,1115.00,1141.00,1112.15,1127.70,1127.089314215105802399,155384,7057,175131646.00,47250,30.41,28.85,12.70
12-May-2011,1131.00,1133.45,1110.00,1112.15,1120.008706083976006855,116700,6252,130705016.00,44306,37.97,23.45,-18.85
11-May-2011,1144.95,1151.00,1127.00,1138.40,1143.103832755578501846,705028,5093,805920209.00,627266,88.97,24.00,-6.55
10-May-2011,1135.00,1158.50,1128.20,1137.05,1145.320444269001650757,111464,6073,127661998.00,18038,16.18,30.30,2.05
9-May-2011,1149.00,1152.25,1125.00,1134.15,1133.897986915652186094,71383,3588,80941040.00,15496,21.71,27.25,-14.85
6-May-2011,1119.45,1148.00,1117.00,1144.55,1136.015636627643161811,110190,5414,125177563.00,27831,25.26,31.00,25.10
5-May-2011,1142.00,1142.00,1108.15,1114.50,1123.013474600674153496,118074,5847,132598693.00,25385,21.50,33.85,-27.50
4-May-2011,1144.45,1144.45,1115.15,1135.95,1126.543297023946643849,182322,7596,205393627.00,63154,34.64,29.30,-8.50
3-May-2011,1158.00,1158.00,1131.00,1137.30,1146.023196494705544833,191710,7560,219704107.00,79593,41.52,27.00,-20.70
2-May-2011,1165.50,1183.80,1150.00,1158.40,1162.875227586003552921,135663,5609,157759142.00,45428,33.49,33.80,-7.10
29-April-2011,1173.00,1173.00,1151.15,1163.60,1161.344934928841664034,129781,5923,150720507.00,33881,26.11,21.85,-9.40
28-April-2011,1180.00,1184.00,1156.15,1160.05,1168.080698075756415617,169781,6409,198317909.00,64947,38.25,27.85,-19.95
27-April-2011,1190.05,1194.95,1176.00,1181.30,1183.853554564533053515,152480,5598,180513990.00,55367,36.31,18.95,-8.75
26-April-2011,1199.00,1200.00,1180.30,1188.40,1188.441589592336466381,199699,8525,237330597.00,62800,31.45,19.70,-10.60
25-April-2011,1199.90,1203.90,1173.10,1197.70,1192.800098620398166310,369092,14841,440252974.00,64311,17.42,30.80,-2.20
21-April-2011,1237.20,1245.90,1171.70,1191.65,1209.581202227675107198,2097972,87454,2537667494.00,302070,14.40,74.20,-45.55
20-April-2011,1178.00,1223.10,1178.00,1218.80,1204.845084041136949295,642245,13925,773805731.00,347788,54.15,45.10,40.80
19-April-2011,1150.00,1169.35,1141.15,1164.85,1156.168203858804380997,235928,8232,272772452.00,55904,23.70,28.20,14.85
18-April-2011,1194.00,1213.00,1144.20,1149.70,1166.760296520325466936,493322,17317,575588523.00,126201,25.58,68.80,-44.30
15-April-2011,1211.00,1222.00,1179.00,1190.55,1193.955488364023891546,484188,16192,578098920.00,101089,20.88,43.00,-20.45
13-April-2011,1180.00,1221.60,1174.00,1208.95,1204.499456417749482509,229956,7357,276981877.00,90684,39.44,47.60,28.95
11-April-2011,1194.95,1194.95,1170.00,1178.70,1184.307215176887443871,126719,5000,150074226.00,45751,36.10,24.95,-16.25
8-April-2011,1197.80,1213.90,1185.45,1194.90,1195.428358224424015670,96487,4185,115343296.00,13824,14.33,28.45,-2.90
7-April-2011,1221.00,1221.00,1195.00,1199.40,1202.712215207246774636,145720,7449,175259224.00,65075,44.66,26.00,-21.60
6-April-2011,1240.00,1247.00,1213.35,1223.85,1228.680241143039252137,188270,5686,231323629.00,75237,39.96,33.65,-16.15
5-April-2011,1212.00,1243.90,1202.55,1239.40,1221.843340588568532156,167695,7579,204897019.00,44982,26.82,41.35,27.40
4-April-2011,1180.10,1214.95,1180.10,1211.50,1199.664608977374226384,189209,6963,226987341.00,93141,49.23,34.85,31.40
1-April-2011,1183.00,1198.00,1173.00,1179.65,1182.066502628771349756,104041,5471,122983381.00,20271,19.48,25.00,-3.35
31-March-2011,1155.00,1196.50,1153.00,1182.50,1183.904053090432183924,279071,11227,330393288.00,82040,29.40,43.50,27.50
30-March-2011,1147.00,1163.00,1145.00,1151.35,1153.559132993391154314,194739,3831,224642952.00,130401,66.96,18.00,4.35
29-March-2011,1120.00,1150.00,1120.00,1139.25,1139.898185024701883883,171242,7146,195198445.00,52802,30.83,30.00,19.25
28-March-2011,1120.00,1126.95,1108.05,1121.20,1117.287469088910798273,123742,4729,138255386.00,43712,35.33,18.90,1.20
25-March-2011,1109.00,1126.50,1102.75,1118.20,1116.126846632392728635,181479,7033,202553584.00,60487,33.33,23.75,9.20
24-March-2011,1071.00,1095.00,1069.40,1093.45,1086.816186430242580962,227388,6071,247128959.00,122974,54.08,25.60,22.45
23-March-2011,1069.00,1071.00,1058.25,1064.10,1064.389088947529559271,205773,5686,219022536.00,93758,45.56,12.75,-4.90
22-March-2011,1072.50,1080.60,1064.10,1068.95,1070.814128925371693894,186511,5275,199718614.00,94481,50.66,16.50,-3.55
21-March-2011,1086.10,1092.75,1068.50,1071.95,1075.473082911979285126,114314,4441,122941630.00,33215,29.06,24.25,-14.15
18-March-2011,1094.60,1108.00,1077.10,1082.40,1083.360562652234866581,127681,5369,138324560.00,36522,28.60,30.90,-12.20
17-March-2011,1110.00,1117.95,1093.00,1099.55,1101.736057795378149560,247217,6516,272367883.00,87082,35.22,24.95,-10.45
16-March-2011,1090.00,1122.75,1090.00,1115.50,1112.130719617755940416,147759,5777,164327323.00,33501,22.67,32.75,25.50
15-March-2011,1080.00,1095.00,1067.25,1089.80,1084.700593195074034720,261634,6944,283794555.00,103331,39.49,27.75,9.80
14-March-2011,1070.00,1100.00,1059.00,1096.65,1079.395942560876150530,205992,8594,222346929.00,33739,16.38,41.00,26.65
11-March-2011,1100.00,1103.60,1065.10,1076.25,1084.439543690161412077,484846,14079,525786175.00,237140,48.91,38.50,-23.75
10-March-2011,1123.00,1123.00,1101.90,1108.30,1108.534984326018808777,111650,6208,123767931.00,44295,39.67,21.10,-14.70
9-March-2011,1123.00,1136.45,1118.60,1125.35,1126.066726846526797024,137366,4360,154683282.00,46930,34.16,17.85,2.35
8-March-2011,1108.00,1128.00,1106.00,1118.85,1119.861468744706081653,118060,5568,132210845.00,21566,18.27,22.00,10.85
7-March-2011,1126.80,1126.80,1095.10,1108.75,1108.020834336624127137,166120,7330,184064421.00,54187,32.62,31.70,-18.05
4-March-2011,1155.00,1164.00,1125.15,1134.50,1145.995506901344489245,145334,5909,166552111.00,25111,17.28,38.85,-20.50
3-March-2011,1119.00,1154.55,1108.00,1150.30,1135.437513614514403551,206581,8258,234559817.00,43717,21.16,46.55,31.30
1-March-2011,1119.00,1132.45,1098.40,1124.70,1115.313158652871486443,281161,9694,313582563.00,89969,32.00,34.05,5.70
28-February-2011,1108.00,1148.75,1101.75,1112.95,1114.856504783173894203,300010,7791,334468100.00,152518,50.84,47.00,4.95
25-February-2011,1102.30,1116.90,1089.20,1111.20,1104.212527791700402256,155622,7238,171839762.00,16382,10.53,27.70,8.90
24-February-2011,1115.30,1137.00,1102.00,1115.10,1116.397708379787737602,255627,7697,285381397.00,84294,32.98,35.00,-0.20
23-February-2011,1124.10,1144.95,1124.10,1127.55,1133.487851712177696279,115613,6094,131045931.00,18321,15.85,20.85,3.45
22-February-2011,1124.00,1146.95,1120.10,1137.15,1134.979795447423150337,175505,8122,199194629.00,25997,14.81,26.85,13.15
21-February-2011,1090.00,1144.95,1060.45,1136.65,1105.726562014406375822,289594,11794,320211778.00,54411,18.79,84.50,46.65
18-February-2011,1108.75,1131.90,1084.00,1090.40,1112.511276228091829177,202550,8352,225339159.00,34811,17.19,47.90,-18.35
17-February-2011,1098.20,1115.00,1093.10,1109.20,1105.657282553544796199,130078,5314,143821688.00,23392,17.98,21.90,11.00
16-February-2011,1104.75,1110.00,1081.15,1098.30,1096.388213779204299470,133970,6064,146883129.00,17388,12.98,28.85,-6.45
15-February-2011,1115.95,1116.00,1077.35,1096.80,1091.339699775605478321,232626,8323,253873989.00,76555,32.91,38.65,-19.15
14-February-2011,1101.00,1119.55,1087.30,1113.55,1106.812508441307029470,111061,5986,122923704.00,28266,25.45,32.25,12.55
11-February-2011,1091.00,1102.80,1056.10,1089.40,1074.944351841731336758,146384,6723,157354654.00,31632,21.61,46.70,-1.60
